,user_loc,Mean_friendship,Median_friendship,Std_friendship,Total_friendship,Mean_SCI_with_Self,Median_SCI_with_Self,Std_SCI_with_Self,SCI,Mean_SCI_without_Self,Median_SCI_without_Self,Std_SCI_without_Self,Mean_dist_to_SCI_km,Median_dist_to_SCI_km,Std_dist_to_SCI_km,Total_dist_to_SCI_km,Ratio_selfloop_to_country,Ratio_selfloop_to_africa,Ratio_selfloop_to_all_sci,Average_distance_of_friendships_km,Ratio_SCI_low_hi_africa,Ratio_SCI_middle_hi_africa,Ratio_SCI_high_hi_africa
55,BFA5,23593.792857142857,518.5,316630.53584340547,16515655,2087.1421955188384,8.0,93900.87390732365,16674179,1070.6677516274412,8.0,23728.62553582133,3248.134018717831,3347.2391297604945,1645.0169904179143,2273693.813102482,0.5334549384525975,0.4917567604796782,0.4870815528608635,254.82453427840866,0.9899588459497766,0.0041483301816539215,0.0031981184800762906
56,BFA6,35057.23285714286,687.0,663246.6539490931,24540063,3107.5990737263737,7.0,196449.3411324088,24826609,919.107411116675,7.0,18141.202437918942,3186.538818668825,3304.819170734805,1607.397948668446,2230577.173068178,0.7644083059553515,0.7124993525892741,0.7042757631539611,227.60962290102722,0.9909359751869455,0.0044692370190387255,0.0022837190532142347
57,BFA7,11696.012857142858,774.0,70774.33151703849,8187209,1055.622480911253,14.0,21194.684129976504,8433368,986.1919128693039,14.0,20267.07312849571,3214.778403204724,3289.329373374759,1628.7786374687958,2250344.882243307,0.08334897063083033,0.06787013743022806,0.0658890967404719,468.78204108026796,0.9671848779752051,0.013268008700675698,0.010669877088252285
58,BFA8,33617.06285714286,583.0,619666.5324256885,23531944,2963.0251595944424,7.0,183552.43292331317,23671608,920.3900851276916,7.0,18935.999574834852,3083.58541032936,3172.506839308314,1541.844007567123,2158509.787230552,0.746053210479715,0.6935054749407868,0.6894137483182384,269.5097247958206,0.9934531697212965,0.0029605931291190697,0.001950353351576285
59,BFA9,11105.335714285715,722.0,83362.35777468202,7773735,996.7743146826887,12.0,24858.20712354583,7963230,818.8818227341012,12.0,19109.11741434923,3373.1578946582695,3502.2963731474233,1707.9450499619488,2361210.5262607886,0.2197766905046248,0.1829239098065473,0.17857100699088185,494.147227202643,0.9738612346999899,0.01110893443991948,0.007873061559191433
60,BWA1,54242.635714285716,374.5,403364.98445372464,37969845,4774.927650519464,11.0,120302.18167025594,38146897,3925.53217325989,11.0,93326.63107503807,3782.0722869100246,3492.043678625211,2026.1193302862928,2647450.600837017,0.1832431895147941,0.1788194289442056,0.1779894705459267,370.4943955982283,0.024155542716882056,0.9729562800350445,0.001914126855455635
61,BWA10,81373.96,327.5,936845.0482353801,56961772,7155.897984729002,11.0,278085.3372702689,57168469,4298.903104656985,11.0,110106.31755511653,4115.652346302896,3818.7921503406424,2076.935556651574,2880956.6424120273,0.4063686225918845,0.40077459317803527,0.3993255617882648,223.1726578711442,0.013496635706651511,0.9839480571011968,0.0018147066348759488
62,BWA11,69104.74714285714,359.0,652247.1098046451,48373323,6079.295906871949,7.0,193930.4032282141,48567495,4307.129944917376,7.0,111895.20738193102,3754.118351763555,3442.9917984409185,2052.6973668409228,2627882.8462344883,0.2991054024314142,0.29276758596882,0.2915971062538844,315.0594181538798,0.02107325074105634,0.9761663021739129,0.0019421013993000875
63,BWA12,68875.40714285715,527.5,728598.0466263143,48212785,6069.554762798848,18.0,216407.24375334964,48489673,3926.6126690035053,18.0,100728.7099512493,3597.7631488032944,3287.0866652757886,1871.5236256255687,2518434.2041623057,0.36651989795767664,0.3551732387996255,0.3531451119499197,482.60249340234776,0.031194869060057386,0.9651072920207154,0.0023686486811325784
64,BWA13,69754.19714285714,352.5,777430.7104040261,48827938,6131.739391663537,9.0,230819.09684211042,48986466,3760.9852278417625,9.0,91523.36801035712,3843.5117320155077,3529.543869837285,2078.366080567508,2690458.212410855,0.3946466578255935,0.3879687895073513,0.3867132607606354,320.9336463469614,0.016963909990975874,0.9810951253352304,0.0012777610860926364
