"GID_1","member_community","trpar","trtax","trgov","trlaw","trgen","trrel","trnei","tracq","railway_contact","explorer_contact","district_ethnic_frac","loc_ln_export_area","distsea","mp_service"
"KEN11",0.41400644,1.26955371167046,1.34302750008648,1.26483662572721,1.42920804623312,0.0585487136168902,1.87331301714141,1.5568907635102,1.4013203700562,0.0039447062,0.86198276,0.33382574,0.38181925,548.675840420318,1
"KEN14",0.57283211,1.39657566653248,1.3423310735929,1.40404267824531,1.80587105226409,0.118381982492345,2.00413856623219,1.71509994271036,1.58405143780064,0.81865346,0.36845803,0.50358987,5.0670111e-05,227.180831542737,0.983322546346455
"KEN22",0.66422343,1.60337410280029,1.52557242655367,1.33821669177337,1.79425462848114,0.0931765406877643,2.05701014594882,1.5983275121252,1.38512438028314,0.66032141,0.39797091,0.39477026,0.27578056,243.348220930556,0.988347318163411
"KEN27",0.58125114,1.71635585196164,1.40490511853311,1.30695703278081,1.95817769908274,0.134898100305876,2.13645660511774,1.81457595726468,1.70265042830598,0.6436733,0.022672502,0.38807249,1.0502006,97.1243231029937,1
"KEN29",0.58495319,1.2412359627614,1.60892110563499,0.996505234433524,1.73411577887282,0.096858049108599,2.61480214913421,1.86417472085657,1.51602055160365,0.99534541,0.1108766,0.25114456,0.0018749747,103.15478694453,1
"KEN30",0.54029465,1.32152993175229,1.54430719137787,0.974423269883326,1.64715324617219,0.0740358016398198,2.03916572278273,1.51549393858927,1.32626069968998,0.96910322,0.15599729,0.68742532,0.00010338765,176.836915019076,1
"KEN43",0.45354676,1.73166317070859,1.66026074077168,1.33055965723044,1.82922282400639,0.0786449528298345,2.41508942702885,2.01773559682334,1.66713360376732,0.57689983,0.073442966,0.518929,1.2150079,135.631464292772,1
"KEN7",0.59758073,1.94372606325405,1.53318360867164,1.50045103521705,1.84395295167268,0.0839790290176137,2.30151055962011,2.16456356711836,1.74719416832952,0.45628551,0.097420223,0.50971144,0.73214942,90.1265384316115,0.707127049140145
"LBR1",0.34219295,1.14719697204428,1.00460583450272,1.73077729288847,1.33667909733216,0.229909797572416,1.84207477857085,1.42914478894826,0.598939789165146,0.032925222,0.125,0.304418,0.0042964173,824.835336801983,0.732559233900641
"LBR10",0.60967231,1.61548441979504,1.3831907514004,1.70156935494247,1.78416961141586,0.159364323843847,1.88148117766333,1.13844208030619,0.781469354088318,0.060238451,0.97123092,0.30449936,0.071559183,790.950740262141,0.344117647058823
"LBR11",0.49166405,1.31514301078866,0.981328202252848,1.15902454113398,1.31518154611309,0.149145988765416,1.9760404667178,1.2835392602442,0.787743410249453,0.14802279,0.80792391,0.49830329,0.045977987,849.094727406188,1
"LBR12",0.66254097,1.55421522163165,1.22819834785016,1.81735671129558,1.64068242545907,0.232596890511061,2.03030052648345,1.25271004301511,0.870646173446298,0,0.35933566,0.34280133,0.0075835017,1029.22047400734,0.826182657408955
"LBR13",0.61333776,0.773467369671059,0.555604403912626,1.18361208452798,1.5800159348067,0,2.23244770096634,1.19812785388128,0.753036529680365,0,0.19187179,0.26682809,0,1166.57451178198,0
"LBR14",0.56014919,1.89230233457392,1.63966514459359,2.0947859526405,2.1931440392448,0.255920434357564,2.13433957882178,1.55108851589723,1.01510702367975,0.10732099,0.49742803,0.28485179,0,1095.24589811444,1
"LBR15",0.35774061,1.99829553815318,1.5141367873985,1.99998334240019,1.82729424281477,0.0934835887962564,1.71821539272473,1.60725705842707,1.48143714621176,0,0.084448621,0.26884055,0,1163.22546020858,0.127765604700316
