,GID_1,HDI
130,DZA40,0.741
132,DZA42,0.741
358,TUN7,0.741
362,TUN11,0.741
96,DZA6,0.722
99,DZA9,0.722
101,DZA11,0.722
102,DZA12,0.722
106,DZA16,0.722
107,DZA17,0.722
110,DZA20,0.722
115,DZA25,0.722
116,DZA26,0.722
118,DZA28,0.722
123,DZA33,0.722
127,DZA37,0.722
133,DZA43,0.722
136,DZA46,0.722
96,DZA6,0.735
98,DZA8,0.735
99,DZA9,0.735
101,DZA11,0.735
102,DZA12,0.735
105,DZA15,0.735
108,DZA18,0.735
111,DZA21,0.735
113,DZA23,0.735
114,DZA24,0.735
116,DZA26,0.735
119,DZA29,0.735
124,DZA34,0.735
127,DZA37,0.735
130,DZA40,0.735
132,DZA42,0.735
137,DZA47,0.735
357,TUN6,0.735
360,TUN9,0.735
362,TUN11,0.735
373,TUN22,0.735
97,DZA7,0.666
134,DZA44,0.666
535,MRT1,0.666
538,MRT4,0.666
546,MRT12,0.666
573,MAR6,0.666
574,MAR7,0.666
575,MAR8,0.666
576,MAR9,0.666
579,MAR12,0.666
580,MAR13,0.666
97,DZA7,0.665
568,MAR1,0.665
570,MAR3,0.665
571,MAR4,0.665
576,MAR9,0.665
577,MAR10,0.665
578,MAR11,0.665
579,MAR12,0.665
580,MAR13,0.665
97,DZA7,0.646
121,DZA31,0.646
138,DZA48,0.646
570,MAR3,0.646
576,MAR9,0.646
577,MAR10,0.646
582,MAR15,0.646
108,DZA18,0.73
112,DZA22,0.73
123,DZA33,0.73
356,TUN5,0.73
357,TUN6,0.73
361,TUN10,0.73
365,TUN14,0.73
368,TUN17,0.73
369,TUN18,0.73
372,TUN21,0.73
602,LBY10,0.73
609,LBY17,0.73
108,DZA18,0.726
132,DZA42,0.726
356,TUN5,0.726
357,TUN6,0.726
360,TUN9,0.726
361,TUN10,0.726
365,TUN14,0.726
369,TUN18,0.726
372,TUN21,0.726
373,TUN22,0.726
109,DZA19,0.708
130,DZA40,0.708
132,DZA42,0.708
353,TUN2,0.708
355,TUN4,0.708
358,TUN7,0.708
359,TUN8,0.708
360,TUN9,0.708
362,TUN11,0.708
364,TUN13,0.708
369,TUN18,0.708
370,TUN19,0.708
375,TUN24,0.708
112,DZA22,0.507
131,DZA41,0.507
401,TCD21,0.507
502,NER1,0.507
503,NER2,0.507
505,NER4,0.507
507,NER6,0.507
509,NER8,0.507
562,MLI4,0.507
608,LBY16,0.507
112,DZA22,0.716
401,TCD21,0.716
502,NER1,0.716
595,LBY3,0.716
597,LBY5,0.716
598,LBY6,0.716
601,LBY9,0.716
606,LBY14,0.716
608,LBY16,0.716
609,LBY17,0.716
610,LBY18,0.716
611,LBY19,0.716
613,LBY21,0.716
614,LBY22,0.716
112,DZA22,0.724
365,TUN14,0.724
372,TUN21,0.724
595,LBY3,0.724
596,LBY4,0.724
597,LBY5,0.724
600,LBY8,0.724
601,LBY9,0.724
602,LBY10,0.724
603,LBY11,0.724
607,LBY15,0.724
609,LBY17,0.724
611,LBY19,0.724
612,LBY20,0.724
614,LBY22,0.724
132,DZA42,0.668
356,TUN5,0.668
357,TUN6,0.668
359,TUN8,0.668
360,TUN9,0.668
362,TUN11,0.668
363,TUN12,0.668
368,TUN17,0.668
369,TUN18,0.668
370,TUN19,0.668
371,TUN20,0.668
375,TUN24,0.668
139,DJI2,0.444
144,ETH2,0.444
147,ETH5,0.444
150,ETH8,0.444
151,ETH9,0.444
177,KEN24,0.444
178,KEN25,0.444
199,KEN46,0.444
420,SOM1,0.444
421,SOM2,0.444
425,SOM6,0.444
426,SOM7,0.444
427,SOM8,0.444
430,SOM11,0.444
431,SOM12,0.444
435,SOM16,0.444
436,SOM17,0.444
437,SOM18,0.444
139,DJI2,0.44
142,DJI5,0.44
144,ETH2,0.44
145,ETH3,0.44
150,ETH8,0.44
151,ETH9,0.44
153,ETH11,0.44
671,ERI3,0.44
674,ERI2,0.44
139,DJI2,0.465
141,DJI4,0.465
142,DJI5,0.465
144,ETH2,0.465
151,ETH9,0.465
420,SOM1,0.465
671,ERI3,0.465
140,DJI3,0.517
420,SOM1,0.517
141,DJI4,0.491
142,DJI5,0.491
144,ETH2,0.491
671,ERI3,0.491
674,ERI2,0.491
143,ETH1,0.482
144,ETH2,0.482
145,ETH3,0.482
146,ETH4,0.482
147,ETH5,0.482
148,ETH6,0.482
149,ETH7,0.482
150,ETH8,0.482
151,ETH9,0.482
152,ETH10,0.482
178,KEN25,0.482
416,SSD7,0.482
143,ETH1,0.741
150,ETH8,0.741
144,ETH2,0.477
145,ETH3,0.477
146,ETH4,0.477
150,ETH8,0.477
153,ETH11,0.477
443,SDN2,0.477
454,SDN13,0.477
144,ETH2,0.522
145,ETH3,0.522
153,ETH11,0.522
443,SDN2,0.522
670,ERI5,0.522
672,ERI4,0.522
674,ERI2,0.522
144,ETH2,0.47
153,ETH11,0.47
452,SDN11,0.47
669,ERI6,0.47
670,ERI5,0.47
671,ERI3,0.47
673,ERI1,0.47
674,ERI2,0.47
145,ETH3,0.489
146,ETH4,0.489
150,ETH8,0.489
416,SSD7,0.489
444,SDN3,0.489
454,SDN13,0.489
145,ETH3,0.455
153,ETH11,0.455
442,SDN1,0.455
443,SDN2,0.455
447,SDN6,0.455
448,SDN7,0.455
454,SDN13,0.455
672,ERI4,0.455
145,ETH3,0.497
146,ETH4,0.497
416,SSD7,0.497
442,SDN1,0.497
443,SDN2,0.497
444,SDN3,0.497
454,SDN13,0.497
459,SDN18,0.497
146,ETH4,0.426
148,ETH6,0.426
150,ETH8,0.426
412,SSD3,0.426
415,SSD6,0.426
416,SSD7,0.426
444,SDN3,0.426
454,SDN13,0.426
456,SDN15,0.426
459,SDN18,0.426
146,ETH4,0.422
416,SSD7,0.422
444,SDN3,0.422
454,SDN13,0.422
147,ETH5,0.585
150,ETH8,0.585
