,GID_1,Mean_of_Night_Light,Std_of_Night_Light,Mean_distance_to_major_rd,Std_distance_to_major_rd,Mean_built_settlement_growth,Std_built_settlement_growth
603,LSO9,0.047738458361076194,0.06450617524461141,6.146864415192514,1.7336134875143145,239.9635899649309,53.83358295232633
604,LSO10,0.029912296906927496,0.03244775491947823,5.860716607642721,2.151329446367093,239.98125804029237,67.99032855975769
605,LBY1,0.11865617501365491,0.19432676400240084,70.19714463055863,16.64508659352244,239.99354722050424,44.71593749649152
606,LBY2,0.6427538208654617,0.2160740968682323,10.903989483728946,0.978102946682009,239.99311564599273,14.750159928051735
607,LBY3,0.16996606203751216,0.2450058009413674,22.59504457348817,5.472910901456356,239.98261198557188,45.487019446611036
608,LBY4,3.7340854909097345,0.2277832535883051,2.4128533028321097,0.08831243567260426,239.98074352836906,6.631127970633856
609,LBY5,0.06723118947164067,0.14999415937970043,65.74640333282879,18.197206848364495,239.99526846684935,50.98083569936645
610,LBY6,0.04067584218566406,0.1312245736910389,190.58876611960255,88.56777109029494,239.99315930224876,91.60927135691628
611,LBY7,0.22112248049679387,0.05790844259552596,11.663836408620094,1.0789502760078429,239.99838385450178,15.99803148642597
612,LBY8,1.9018900618577,0.3623042337636594,5.075373047177498,0.44333896234366665,239.97433078608222,14.489858479537574
613,LBY9,0.34642683286038145,4.699532969155397,64.55598296300025,24.70214396574878,239.9870788262456,66.35709074202613
614,LBY10,1.4375456877696786,0.9533060890607161,6.7297941159457535,0.46776462308743927,239.97508830690848,12.750745492372868
615,LBY11,3.2723432240440276,0.3737625951356934,4.514759021921815,0.2577400009436682,239.96570152892298,9.055938811479999
616,LBY12,1.4154303725849293,0.6906533186090119,8.87491710514953,1.031721707992441,239.97003204041042,19.69215562665732
617,LBY13,0.2084290174855312,0.1310827013439289,12.2602892286938,1.4892790062629555,239.99271487834255,21.64604403828003
618,LBY14,0.06983075898425271,0.07331220723265332,51.66380101309065,8.944823711019007,239.99789301482258,35.10048768069522
619,LBY15,0.613328106754934,0.5377872301003096,10.131585728559134,1.4347839546775953,239.9765619802228,26.614161634516215
620,LBY16,0.05528521405120242,0.10703375233373158,106.9015757830572,44.25909741571516,239.99235388476612,75.3355162561886
621,LBY17,0.18178119014731903,0.8882835123329489,28.825482511227303,6.2382633099511695,239.99312827167898,40.58206651966752
622,LBY18,0.26601863873412057,0.20872280824007294,21.95471777211941,2.475714055706683,239.99583099184193,20.371030229514314
623,LBY19,0.12290174944234933,0.1880355067414778,17.397450878417704,4.189421389395329,239.9892669295795,43.62491067885489
624,LBY20,10.934786707279416,0.6614759675348927,2.2218692373901785,0.10464068569759262,239.93449446969507,7.903636721276065
625,LBY21,0.12086464500432735,0.10193939815553364,23.737711101627962,3.426745564599978,239.9925000265351,28.18818443893136
626,LBY22,0.08949690866669796,0.10707700930038312,46.773038172715644,11.776250893240354,239.99658906173798,46.96151376276142
627,LBR1,0.0727680898801386,0.009891886404057304,3.044001355945358,0.3802881484593711,239.9087239721064,23.83074370393795
628,LBR2,0.0722223299700704,0.019198248727485705,3.8790846839199737,0.9550890427635067,239.85397235055368,46.82416913758729
629,LBR3,0.06033003327473546,0.013158507147889542,11.667784744574869,2.9054737429695603,239.9788721016023,49.089443804825144
630,LBR4,0.06499651790657762,0.02158713458241582,5.940249565982508,1.3057879086111046,239.95377002075284,36.27057375667326
